scenario_id,regime,transfer_regime,replicates,model,mean_uno_c,mean_delta_c_vs_B0,negative_transfer_rate,catastrophic_negative_transfer_rate,frozen_role,eligible_for_primary_selection
CORE_0025,R1,R1_MOSTLY_TRANSPORTABLE,200,A1,0.5502598001,-0.00127514885,0.355,0.275,frozen non-selectable comparator,False
CORE_0025,R1,R1_MOSTLY_TRANSPORTABLE,200,A2,0.588229461,0.03669451096,0.1,0.025,frozen selectable architecture,True
CORE_0025,R1,R1_MOSTLY_TRANSPORTABLE,200,A3,0.5848096369,0.03327468677,0.03,0.005,frozen selectable architecture,True
CORE_0025,R1,R1_MOSTLY_TRANSPORTABLE,200,A4,0.5854283157,0.03389336547,0.01,0,frozen non-selectable comparator,False
CORE_0025,R1,R1_MOSTLY_TRANSPORTABLE,200,B0,0.5515349486,0,0,0,frozen target-only reference,False
CORE_0025,R1,R1_MOSTLY_TRANSPORTABLE,200,B4,0.5628280488,0.01129309888,0,0,frozen non-selectable comparator,False
CORE_0026,R2,R2_PARTIALLY_TRANSPORTABLE,200,A0,0.5242829153,0.0006107859695,0,0,frozen non-selectable comparator,False
CORE_0026,R2,R2_PARTIALLY_TRANSPORTABLE,200,A1,0.4968242647,-0.02684786346,0.535,0.365,frozen non-selectable comparator,False
CORE_0026,R2,R2_PARTIALLY_TRANSPORTABLE,200,A2,0.5254787558,0.001806626284,0.285,0.12,frozen selectable architecture,True
CORE_0026,R2,R2_PARTIALLY_TRANSPORTABLE,200,A3,0.5422539994,0.01858187157,0.075,0,frozen selectable architecture,True
CORE_0026,R2,R2_PARTIALLY_TRANSPORTABLE,200,A4,0.5350693932,0.01139726435,0.045,0,frozen non-selectable comparator,False
CORE_0026,R2,R2_PARTIALLY_TRANSPORTABLE,200,B0,0.5236721292,0,0,0,frozen target-only reference,False
CORE_0026,R2,R2_PARTIALLY_TRANSPORTABLE,200,B4,0.5278715816,0.004199453607,0,0,frozen non-selectable comparator,False
CORE_0027,R3,R3_WEAKLY_TRANSPORTABLE,200,A0,0.5289328082,0.00101229708,0,0,frozen non-selectable comparator,False
CORE_0027,R3,R3_WEAKLY_TRANSPORTABLE,200,A1,0.5239730328,-0.003947478839,0.32,0.12,frozen non-selectable comparator,False
CORE_0027,R3,R3_WEAKLY_TRANSPORTABLE,200,A2,0.5235538524,-0.004366660316,0.325,0.115,frozen selectable architecture,True
CORE_0027,R3,R3_WEAKLY_TRANSPORTABLE,200,A3,0.5228989227,-0.005021586801,0.29,0.02,frozen selectable architecture,True
CORE_0027,R3,R3_WEAKLY_TRANSPORTABLE,200,A4,0.5143457307,-0.01357478074,0.38,0.045,frozen non-selectable comparator,False
CORE_0027,R3,R3_WEAKLY_TRANSPORTABLE,200,B0,0.52792051,0,0,0,frozen target-only reference,False
CORE_0027,R3,R3_WEAKLY_TRANSPORTABLE,200,B4,0.5237303567,-0.004190155627,0.01,0,frozen non-selectable comparator,False
CORE_0028,R4,R4_NONTRANSPORTABLE,200,A0,0.5633904141,0.0007671075545,0,0,frozen non-selectable comparator,False
CORE_0028,R4,R4_NONTRANSPORTABLE,200,A1,0.5880232468,0.02539994386,0.13,0.04,frozen non-selectable comparator,False
CORE_0028,R4,R4_NONTRANSPORTABLE,200,A2,0.571811997,0.009188692971,0.22,0.105,frozen selectable architecture,True
CORE_0028,R4,R4_NONTRANSPORTABLE,200,A3,0.5388009906,-0.02382231493,0.53,0.1,frozen selectable architecture,True
CORE_0028,R4,R4_NONTRANSPORTABLE,200,A4,0.5179865994,-0.04463670625,0.85,0.385,frozen non-selectable comparator,False
