relative_path,sheet,rows,columns,file_size_bytes,best_cotc_source,cotc_nonempty,unique_cotc,selected186_overlap,selected186_missing,selected186_overlap_fraction,parent_candidate
data/raw/canine_clinical_DOG2/ccr-24-1854_supplementary_table_s10_suppts10.xlsx,TME_subtype_SupplTable10,186,16,25294,Patient ID,0,0,0,186,0.0,False
results/tables/GSE238110_full_cohort_module_scores_for_proliferation_adjustment.csv,__table__,186,14,50556,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_meta_proliferation_score_per_sample.csv,__table__,186,2,6536,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_pca_scores_top5000var.csv,__table__,186,11,38195,__index__,0,0,0,186,0.0,False
results/tables/Patkar_TME_frozen_program_scores.csv,__table__,186,26,53245,expression_sample_id,0,0,0,186,0.0,False
results/tables/GSE238110_repeated_cv_program_model_contrasts.csv,__table__,182,28,82109,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_frozen_module_subspace_capture.csv,__table__,182,16,45250,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_module_capture_random_controls.csv,__table__,182,12,33296,__index__,0,0,0,186,0.0,False
results/tables/GSE238110_nested_cv_method_vs_random_percentiles.csv,__table__,180,14,35045,__index__,0,0,0,186,0.0,False
paper5/data_manifest/TARGET_OS_technical_metadata/TARGET_OS_technical_metadata_conflicts.csv,__table__,158,9,52707,__index__,0,0,0,186,0.0,False
paper5/canine/ICDC_COTC022/COTC022 SOC Data Set.xlsx,SOC,157,24,39326,Patient ID,0,0,0,186,0.0,False
results/tables/GSE238110_candidate_gene_residualized_proliferation_analysis.csv,__table__,156,27,66865,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_frozen_module_subspace_capture.csv,__table__,153,17,42712,__index__,0,0,0,186,0.0,False
results/tables/multigroup_mofa_variable_only_subspace_random_controls.csv,__table__,153,12,30654,__index__,0,0,0,186,0.0,False
paper5/canine/ICDC_COTC021/COTC021_Supplemental Data.xlsx,Sheet1,152,26,40217,Patient ID,0,0,0,186,0.0,False
